index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
0, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.12 W
1, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 12.17 W
2, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 7.49 W
3, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.99 W
1787997051,0, 31370, 99, 281.91;1, 30864, 59, 298.36;2, 30874, 67, 277.65;3, 30864, 68, 308.90
1787997056,0, 31370, 68, 300.57;1, 30864, 64, 302.38;2, 30874, 70, 289.87;3, 30864, 70, 309.67
1787997061,0, 17578, 56, 168.98;1, 17072, 57, 241.06;2, 17068, 100, 168.54;3, 17072, 64, 195.74
1787997067,0, 31370, 67, 294.23;1, 30866, 64, 300.79;2, 30874, 67, 280.75;3, 30864, 67, 303.83
1787997072,0, 16994, 69, 238.92;1, 16086, 65, 304.31;2, 16484, 70, 310.58;3, 16488, 94, 288.57
1787997077,0, 17414, 100, 130.59;1, 16904, 100, 122.12;2, 16916, 72, 129.08;3, 16918, 0, 74.69
1787997082,0, 31370, 65, 292.34;1, 30864, 63, 298.76;2, 30876, 67, 282.86;3, 15818, 100, 119.35
1787997087,0, 24090, 69, 332.88;1, 30864, 66, 335.63;2, 15830, 69, 319.06;3, 15818, 100, 117.99
1787997092,0, 31370, 73, 293.46;1, 30864, 48, 300.26;2, 30876, 71, 281.14;3, 30864, 41, 214.05
1787997097,0, 31370, 68, 300.48;1, 30864, 64, 333.96;2, 30876, 70, 290.32;3, 30864, 68, 308.83
1787997102,0, 17228, 100, 112.41;1, 16722, 0, 78.89;2, 16718, 100, 104.72;3, 16722, 0, 80.52
1787997107,0, 31370, 66, 292.99;1, 30864, 64, 305.36;2, 30874, 67, 289.35;3, 30866, 67, 315.10
1787997112,0, 31370, 69, 332.15;1, 15818, 100, 123.74;2, 15828, 100, 107.03;3, 15820, 100, 117.83
1787997117,0, 31372, 65, 294.81;1, 30864, 72, 273.64;2, 30874, 67, 296.95;3, 15818, 100, 225.99
1787997122,0, 16326, 27, 191.46;1, 19712, 27, 191.12;2, 20620, 61, 177.42;3, 19838, 29, 135.95
1787997127,0, 31372, 69, 299.57;1, 30866, 65, 301.80;2, 30874, 68, 286.57;3, 30864, 69, 307.42
1787997133,0, 17182, 100, 99.04;1, 16676, 100, 121.96;2, 16674, 0, 88.77;3, 16676, 0, 95.41
1787997138,0, 17532, 100, 179.81;1, 17012, 56, 151.00;2, 17026, 0, 75.71;3, 17026, 88, 116.53
1787997143,0, 31370, 66, 304.63;1, 30866, 64, 300.09;2, 30874, 68, 292.61;3, 30864, 68, 301.05
1787997148,0, 16324, 69, 331.35;1, 30866, 66, 335.89;2, 15828, 100, 215.06;3, 15818, 68, 281.28
1787997153,0, 31370, 62, 303.59;1, 30864, 99, 305.57;2, 30876, 68, 278.56;3, 30866, 17, 297.69
1787997158,0, 16324, 100, 113.83;1, 15818, 100, 123.51;2, 30876, 71, 289.31;3, 30866, 70, 341.05
1787997163,0, 17086, 49, 225.85;1, 16574, 47, 228.58;2, 17084, 64, 299.65;3, 17088, 69, 324.96
1787997168,0, 31370, 67, 299.62;1, 30864, 64, 330.52;2, 30876, 70, 319.20;3, 30864, 69, 306.25
1787997173,0, 17594, 74, 306.53;1, 17088, 61, 275.91;2, 17084, 78, 234.26;3, 17088, 46, 221.80
1787997178,0, 31370, 68, 297.36;1, 30864, 63, 299.31;2, 30876, 67, 287.13;3, 30864, 68, 320.92
